,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint george,0,GR,1562034588,72,39.45,22.34,75,0.69
1,taolanaro,,,,,,,,
2,ancud,40,CL,1562034870,93,-41.87,-73.83,37.4,5.82
3,nassau,0,AT,1562034588,82,46.81,15.34,69.01,1.12
4,georgetown,40,GY,1562034614,94,6.8,-58.16,77,2.24
5,qaanaaq,0,GL,1562034589,49,77.48,-69.36,48.34,8.34
6,lompoc,20,US,1562034589,72,34.64,-120.46,75,16.11
7,atuona,0,PF,1562034590,75,-9.8,-139.03,80.83,15.37
8,arraial do cabo,0,BR,1562034872,94,-22.97,-42.02,68,4.7
9,castro,40,CL,1562034872,93,-42.48,-73.76,37.4,5.82
10,requena,75,ES,1562034873,83,39.49,-1.1,77,3.36
11,punta arenas,40,CL,1562034873,80,-53.16,-70.91,35.6,10.29
12,ushuaia,90,AR,1562034873,93,-54.81,-68.31,37.4,4.7
13,sorland,94,NO,1562034591,67,67.67,12.69,46.2,5.93
14,muli,6,CN,1562034874,52,28.08,109.56,81.73,7.09
15,carnarvon,0,ZA,1562034874,89,-30.97,22.13,32.25,6.51
16,ahipara,16,NZ,1562034875,80,-35.17,173.16,61.84,14.36
17,yellowknife,75,CA,1562034593,76,62.45,-114.38,53.6,24.16
18,nikolskoye,20,RU,1562034875,77,59.7,30.79,61,8.95
19,zabaykalsk,23,CN,1562034875,30,49.64,117.33,79.44,12.28
20,albany,75,US,1562034610,53,42.65,-73.75,73.99,9.17
21,mareeba,90,AU,1562034876,64,-16.99,145.42,78.01,11.41
22,rikitea,100,PF,1562034594,71,-23.12,-134.97,69.25,16.37
23,nosy varika,98,MG,1562034876,89,-20.58,48.53,65.15,5.7
24,saint-georges,100,CA,1562034877,100,46.12,-70.67,66,1.01
25,poum,20,MK,1562034877,87,41.28,20.71,55.4,3.36
26,dunedin,74,NZ,1562034877,66,-45.87,170.5,53.01,15.01
27,taltal,100,CL,1562034878,83,-25.41,-70.49,50.25,1.81
28,phayao,100,TH,1562034597,97,19.17,99.9,68.93,2.28
29,pringsewu,94,ID,1562034878,74,-5.36,104.98,78.85,3.15
30,belushya guba,,,,,,,,
31,busselton,100,AU,1562034879,48,-33.64,115.35,64,6.53
32,cap malheureux,75,MU,1562034661,68,-19.98,57.61,71.6,17.22
33,hilo,75,US,1562034600,69,19.71,-155.08,80.6,14.99
34,provideniya,90,RU,1562034599,81,64.42,-173.23,48.2,11.18
35,vaini,75,IN,1562034600,100,15.34,74.49,71.6,5.82
36,agirish,87,RU,1562034880,57,61.92,63.02,69.43,9.8
37,high prairie,68,CA,1562034600,75,55.43,-116.48,53.18,8.46
38,pombas,0,BR,1562034881,52,-15.9,-54.74,67.04,2.91
39,kouango,100,CF,1562034601,95,4.99,19.98,70.21,2.62
40,sovetskiy,0,RU,1562034881,81,56.76,48.47,55.81,1.21
41,bethel,90,US,1562034881,100,60.79,-161.76,55.4,11.41
42,butaritari,82,KI,1562034882,70,3.07,172.79,84.75,8.81
